team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2012,48,30,12,6,66,0.688,23,24,6,134,115,2.79,2.4,5,21.5,81.5,17.8,84.6,28.1,27.9,47.5
BOS,Boston Bruins,2012,48,28,14,6,62,0.646,23,24,4,127,106,2.65,2.21,6,14.8,87.1,13.1,90.2,32.4,28.6,56.4
BUF,Buffalo Sabres,2012,48,21,21,6,48,0.5,13,14,7,118,139,2.46,2.9,1,14.1,79.2,9.8,83.1,27.9,33.5,46.2
CGY,Calgary Flames,2012,48,19,25,4,42,0.438,17,19,0,128,157,2.67,3.27,0,20.0,81.5,18.7,85.4,26.9,29.4,46.6
CAR,Carolina Hurricanes,2012,48,19,25,4,42,0.438,17,18,1,127,159,2.65,3.31,2,14.5,77.6,12.1,79.5,32.2,32.2,50.2
CHI,Chicago Blackhawks,2012,48,36,7,5,77,0.802,25,30,6,149,97,3.1,2.02,7,16.7,87.2,13.3,90.8,31.1,26.2,50.8
COL,Colorado Avalanche,2012,48,16,25,7,39,0.406,11,14,2,114,150,2.38,3.13,3,15.0,80.3,12.9,82.0,29.5,31.4,51.1
CBJ,Columbus Blue Jackets,2012,48,24,17,7,55,0.573,14,19,5,115,115,2.4,2.4,4,14.2,82.6,12.9,84.7,26.7,29.9,52.0
DAL,Dallas Stars,2012,48,22,22,4,48,0.5,18,20,2,128,141,2.67,2.94,1,17.0,81.0,15.2,82.1,26.3,31.0,47.2
DET,Detroit Red Wings,2012,48,24,16,8,56,0.583,20,22,2,122,110,2.54,2.29,5,18.4,81.7,15.7,83.5,30.1,27.5,50.8
EDM,Edmonton Oilers,2012,48,19,22,7,45,0.469,15,17,2,123,131,2.56,2.73,3,20.1,83.4,19.5,85.7,26.8,32.8,46.1
FLA,Florida Panthers,2012,48,15,27,6,36,0.375,11,12,3,109,170,2.27,3.54,0,20.4,74.2,19.7,76.8,29.2,31.3,49.4
LAK,Los Angeles Kings,2012,48,27,16,5,59,0.615,24,25,2,131,114,2.73,2.38,2,19.9,83.2,19.3,84.5,29.8,25.0,52.0
MIN,Minnesota Wild,2012,48,26,19,3,55,0.573,19,22,4,118,125,2.46,2.6,3,17.9,80.7,17.9,81.5,28.8,27.1,52.5
MTL,Montréal Canadiens,2012,48,29,14,5,63,0.656,24,26,3,146,124,3.04,2.58,4,20.7,79.8,19.7,79.8,30.6,26.9,49.8
NSH,Nashville Predators,2012,48,16,23,9,41,0.427,11,14,2,109,133,2.27,2.77,5,17.1,75.5,14.3,76.3,25.9,27.8,49.7
NJD,New Jersey Devils,2012,48,19,19,10,48,0.5,16,17,2,110,122,2.29,2.54,3,15.9,81.1,12.5,87.6,28.4,23.1,48.2
NYI,New York Islanders,2012,48,24,17,7,55,0.573,18,20,4,135,136,2.81,2.83,3,19.9,80.3,19.9,81.7,30.9,28.2,49.7
NYR,New York Rangers,2012,48,26,18,4,56,0.583,18,22,4,126,108,2.63,2.25,2,15.7,81.1,13.1,84.5,30.9,28.2,50.0
OTT,Ottawa Senators,2012,48,25,17,6,56,0.583,19,21,4,112,100,2.33,2.08,4,15.9,88.0,15.3,89.2,33.1,31.3,49.2
PHI,Philadelphia Flyers,2012,48,23,22,3,49,0.51,20,22,1,132,139,2.75,2.9,1,21.6,85.9,19.9,87.0,29.0,28.6,48.5
ARI,Phoenix Coyotes,2012,48,21,18,9,51,0.531,16,17,4,121,125,2.52,2.6,6,14.8,79.9,13.6,81.1,30.9,30.6,52.0
PIT,Pittsburgh Penguins,2012,48,36,12,0,72,0.75,31,33,3,162,119,3.38,2.48,5,24.7,79.6,22.9,80.8,30.0,29.2,51.5
SJS,San Jose Sharks,2012,48,25,16,7,57,0.594,17,17,8,116,112,2.42,2.33,5,20.1,85.0,17.8,87.1,31.8,29.0,53.4
STL,St. Louis Blues,2012,48,29,17,2,60,0.625,20,24,5,124,114,2.58,2.38,7,19.5,84.7,16.1,86.7,27.8,24.2,50.7
TBL,Tampa Bay Lightning,2012,48,18,26,4,40,0.417,16,17,1,147,147,3.06,3.06,1,19.0,80.6,16.6,80.6,27.6,30.2,51.2
TOR,Toronto Maple Leafs,2012,48,26,17,5,57,0.594,24,26,0,145,128,3.02,2.67,6,18.7,87.9,16.3,88.5,26.3,32.3,50.1
VAN,Vancouver Canucks,2012,48,26,15,7,59,0.615,20,21,5,122,115,2.54,2.4,7,15.8,84.0,13.9,85.2,28.1,28.9,47.6
WSH,Washington Capitals,2012,48,27,18,3,57,0.594,20,24,3,146,130,3.04,2.71,4,26.8,77.9,24.4,79.8,28.1,32.3,50.8
WPG,Winnipeg Jets,2012,48,24,21,3,51,0.531,18,22,2,126,141,2.63,2.94,1,13.8,79.7,11.7,80.4,28.9,29.7,48.9
