team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
ANA,Anaheim Ducks,2010,82,47,30,5,99,0.604,34,43,4,235,233,2.87,2.84,7,23.5,81.3,21.1,83.6,28.5,32.3,47.7
ATL,Atlanta Thrashers,2010,82,34,36,12,80,0.488,19,29,5,218,262,2.66,3.2,5,18.3,77.5,14.9,79.6,31.5,32.2,48.7
BOS,Boston Bruins,2010,82,46,25,11,103,0.628,43,44,2,244,189,2.98,2.3,11,16.2,82.6,14.3,86.8,32.9,32.7,51.9
BUF,Buffalo Sabres,2010,82,43,29,10,96,0.585,28,38,5,240,228,2.93,2.78,6,19.4,83.0,14.7,83.7,32.8,30.7,47.7
CGY,Calgary Flames,2010,82,41,29,12,94,0.573,30,32,9,241,230,2.94,2.8,6,19.5,81.2,16.7,83.7,30.5,28.5,48.1
CAR,Carolina Hurricanes,2010,82,40,31,11,91,0.555,29,35,5,231,234,2.82,2.85,4,15.9,81.3,14.2,83.8,30.7,33.2,44.6
CHI,Chicago Blackhawks,2010,82,44,29,9,97,0.591,34,38,6,252,220,3.07,2.68,5,23.1,79.2,21.7,81.6,32.2,28.7,50.8
COL,Colorado Avalanche,2010,82,30,44,8,68,0.415,18,24,6,221,287,2.7,3.5,1,18.5,76.1,14.3,78.7,29.2,31.8,50.6
CBJ,Columbus Blue Jackets,2010,82,34,35,13,81,0.494,24,29,5,210,250,2.56,3.05,6,14.0,80.3,10.3,82.2,30.6,29.8,51.2
DAL,Dallas Stars,2010,82,42,29,11,95,0.579,32,37,5,222,226,2.71,2.76,5,18.0,80.1,13.1,83.8,27.7,30.5,50.0
DET,Detroit Red Wings,2010,82,47,25,10,104,0.634,34,43,4,257,237,3.13,2.89,3,22.3,82.3,19.9,84.0,33.6,30.7,51.9
EDM,Edmonton Oilers,2010,82,25,45,12,62,0.378,21,23,2,191,260,2.33,3.17,4,14.5,76.9,13.8,79.4,26.7,31.7,44.2
FLA,Florida Panthers,2010,82,30,40,12,72,0.439,20,26,4,191,222,2.33,2.71,7,13.1,84.6,11.2,86.1,30.4,31.8,51.9
LAK,Los Angeles Kings,2010,82,46,30,6,98,0.598,35,36,10,209,196,2.55,2.39,9,16.1,85.5,14.0,87.0,28.8,27.9,51.1
MIN,Minnesota Wild,2010,82,39,35,8,86,0.524,31,36,3,203,228,2.48,2.78,5,18.2,82.8,15.8,85.1,26.2,32.0,50.7
MTL,Montréal Canadiens,2010,82,44,30,8,96,0.585,36,41,3,213,206,2.6,2.51,8,19.7,84.4,17.6,85.9,31.7,31.0,49.0
NSH,Nashville Predators,2010,82,44,27,11,99,0.604,36,38,6,213,190,2.6,2.32,8,15.2,84.9,14.5,86.8,28.8,30.6,50.2
NJD,New Jersey Devils,2010,82,38,39,5,81,0.494,28,35,3,171,207,2.09,2.52,9,14.3,83.4,11.0,84.6,28.6,26.2,51.2
NYI,New York Islanders,2010,82,30,39,13,73,0.445,19,26,4,225,258,2.74,3.15,2,17.2,83.2,14.9,88.1,29.4,32.0,50.1
NYR,New York Rangers,2010,82,44,33,5,93,0.567,32,35,9,224,195,2.73,2.38,11,16.9,83.7,15.2,87.9,29.9,29.4,47.7
OTT,Ottawa Senators,2010,82,32,40,10,74,0.451,28,30,2,190,245,2.32,2.99,5,17.5,83.7,16.0,85.7,29.0,31.2,50.8
PHI,Philadelphia Flyers,2010,82,47,23,12,106,0.646,41,44,3,256,216,3.12,2.63,0,16.6,82.7,14.9,86.9,31.8,30.1,50.3
ARI,Phoenix Coyotes,2010,82,43,26,13,99,0.604,36,38,5,226,220,2.76,2.68,9,15.9,78.4,13.8,80.1,30.3,32.6,51.5
PIT,Pittsburgh Penguins,2010,82,49,25,8,106,0.646,34,39,10,228,196,2.78,2.39,5,15.8,86.1,13.8,90.1,31.5,28.7,49.2
SJS,San Jose Sharks,2010,82,48,25,9,105,0.64,38,43,5,243,208,2.96,2.54,6,23.5,79.6,21.1,81.8,34.5,28.9,53.7
STL,St. Louis Blues,2010,82,38,33,11,87,0.53,31,34,4,236,228,2.88,2.78,10,18.6,81.7,18.3,84.2,30.2,27.7,47.3
TBL,Tampa Bay Lightning,2010,82,46,25,11,103,0.628,32,40,6,241,234,2.94,2.85,7,20.5,83.8,15.8,84.1,31.8,28.7,50.4
TOR,Toronto Maple Leafs,2010,82,37,34,11,85,0.518,30,32,5,213,245,2.6,2.99,3,16.0,77.5,13.5,79.3,28.8,31.0,50.5
VAN,Vancouver Canucks,2010,82,54,19,9,117,0.713,46,50,4,258,180,3.15,2.2,5,24.3,85.6,23.6,87.5,32.0,30.1,54.9
WSH,Washington Capitals,2010,82,48,23,11,107,0.652,34,43,5,219,191,2.67,2.33,8,17.5,85.6,15.6,88.0,31.3,29.0,51.7
